"Code","Definition"
"U-267","PREVENTING HEARTBURN EPISODES FOLLOWING INGESTION OF HEARTBURN-INDUCING FOOD/BEVERAGE, COMPRISING ADMIN TO PT, 30 MIN PRIOR TO CONSUMPTION BY THE PT THE FOOD/BEVERAGE, A COMPOSITION COMPRISING 10MG FAMOTIDINE"
"U-268","ACROMEGALY"
"U-269","EXCESS GH-SECRETION OR GASTRO-INTESTINAL DISORDERS"
"U-270","METHOD OF IMPROVING THE TIME FOR ADMINISTRATION OR THE TIME BETWEEN CHANGES OF GIVING SETS FOR THE DRUG PRODUCT"
"U-271","METHOD OF TREATING TUMORS"
"U-272","METHOD OF TREATING CARCINOMA"
"U-273","CUTANEOUS T-CELL LYMPHOMA"
"U-274","ZANAMIVIR FOR INHALATION"
"U-275","METHOD OF USE OF THE DRUG SUBSTANCE"
"U-276","METHOD OF USE OF LEVOBUPIVACAINE"
"U-277","NEUROLOGICAL AND OTHER DISORDERS (TREATMENT OF EPILEPSY, BID ORAL DOSING)"
"U-278","METHOD OF USE OF THE INDICATION OF THE DRUG PRODUCT"
"U-279","METHOD OF USE OF THE APPROVED PRODUCT"
"U-280","TREATING PRECIPITATED ACUTE URINARY RETENTION WITH FINASTERIDE"
"U-281","ANTIMYCOTIC USES, SPECIFICALLY TREATMENT OF ONYCHOMYCOSIS"
"U-282","METHOD OF TREATING BACTERIAL INFECTIONS"
"U-283","METHOD FOR TREATING MENOPAUSAL SYMPTOMS IN A POSTMENOPAUSAL FEMALE"
"U-284","MENOPAUSAL AND POSTMENOPAUSAL DISORDERS (INCLUDING VASOMOTOR SYMPTOMS ASSOCIATED WITH MENOPAUSE, AND VULVAR AND VAGINAL ATROPHY) AND OSTEOPOROSIS"
"U-285","DEPRESSION AND SOCIAL ANXIETY DISORDER/SOCIAL PHOBIA"
"U-286","DEPRESSION"
"U-287","TREATMENT OR PREVENTION OF OSTEOPOROSIS"
"U-288","THERAPY OF INFLUENZA"
"U-289","TREATMENT OF NON-HYPERKERATOTIC ACTINIC KERATOSES OF FACE AND SCALP"
"U-290","INHIBITING TRANSPLANT REJECTION USING RAPAMYCIN (SIROLIMUS)"
"U-291","INHIBITING TRANSPLANT REJECTION USING RAPAMYCIN (SIROLIMUS) IN COMBINATION WITH CYCLOSPORIN"
"U-292","INHIBITING TRANSPLANT REJECTION USING RAPAMYCIN (SIROLIMUS) IN COMBINATION WITH AZATHIOPRINE"
"U-293","INHIBITING TRANSPLANT REJECTION USING RAPAMYCIN (SIROLIMUS) IN COMBINATION WITH A CORTICOSTEROID"
"U-294","TREATMENT OF HYPERPIGMENTARY DISORDERS"
"U-295","TREATMENT OF SEASONAL AND PERENNIAL ALLERGIC RHINITIS SYMPTOMS"
"U-296","TREATING MIGRAINE PAIN AND ONE OR MORE OF A CLUSTER OF SYMPTOMS CHARACTERISTIC OF A MIGRAINE ATTACK SYMPTOMS BEING SELECTED FROM PHOTOPHOBIA, PHONOPHOBIA NAUSEA AND FUNCTIONAL DISABILITY"
"U-297","PREVENTION OR TREATMENT OF REVERSIBLE VASOCONSTRICTION BY THE INHALATION OF NITRIC OXIDE WITH AN OXYGEN CONTAINING GAS"
"U-298","METHOD OF COMBATING BACTERIA IN A PATIENT"
"U-299","TREATMENT OF ADENOMATOUS POLYPS"
"U-300","INDICATED FOR THE REDUCTION OF ELEVATED TOTAL AND LDL CHOLESTEROL LEVELS IN PATIENTS WITH PRIMARY HYPERCHOLESTEROLEMIA"
"U-301","USE OF TROGLITAZONE IN COMBINATION WITH SULFONYLUREAS AND BIGUANIDES IN THE TREATMENT OF TYPE II DIABETES"
"U-302","TO REDUCE THE RISK OF STROKE IN PATIENTS WHO HAVE HAD TRANSIENT ISCHEMIA OF THE BRAIN OR COMPLETED ISCHEMIC STROKE DUE TO THROMBOSIS"
"U-303","METHOD OF USE PATENT-PRODUCT APPROVED FOR TREATMENT OF OSTEOPOROSIS, PAGET'S DISEASE, PREVENTION AND TREATMENT OF GLUCOCORTICOID INDUCED OSTEOPOROSIS"
"U-304","A METHOD OF TREATMENT OF A CONDITION INVOLVING AN ANTIBODY ANTIGEN REACTION"
"U-305","METHODS FOR USING THE DRUG PRODUCT"
"U-306","TREATMENT OF POST-MENOPAUSAL UROGENITAL SYMPTOMS ASSOCIATED WITH ESTROGEN DEFICIENCY"
"U-307","CLAIMS AN OLANZAPINE POLYMORPH USEFUL FOR TREATING ANY NUMBER OF LISTED CONDITIONS, INCLUDING SPECIFIC PSYCHOSES,EMPLOYING OLANZAPINE AS PER THE INDICATION OF THIS NDA"
"U-308","CLAIMS A SOLID ORAL FORMULATION INCLUDING TABLETS AND GRANULES OF OLANZAPINE USEFUL FOR TREATING ANY NUMBER OF LISTED CONDITIONS, INCLUDING SPECIFIC PSYCHOLES, EMPLOYING OLANZAPINE AS PER THE INDICATIONS OF THIS NDA"
"U-309","TREATING SJOEGREN SYNDROME"
"U-310","TREATMENT OF XEROSTOMIA"
"U-311","HORMONE REPLACEMENT"
"U-312","PANIC DISORDER, OBSESSIVE-COMPULSIVE DISORDER, POSTTRAUMATIC STRESS DISORDER"
"U-313","TREATMENT OF CONGESTIVE HEART FAILURE"
"U-314","METHOD FOR TREATING HYPERPARATHYROIDISM WHICH COMPRISES SUPPRESSING PARATHYROID ACTIVITY"
"U-315","METHOD FOR ADMINISTERING DRUG TO GASTROINTESTINAL TRACT"
"U-316","METHOD OF TREATING A SUBJECT SUFFERING FROM PROSTATE CANCER"
"U-317","METHOD OF USING TROGLITAZONE TO TREAT PATIENTS HAVING INSULIN RESISTANCE"
"U-318","TREATMENT OF PATIENTS WITH AN OVERACTIVE BLADDER WITH SYMPTOMS OF URINARY FREQUENCY, URGENCY, OR URGE INCONTINENCE"
"U-319","TREATMENT OF MICROBIAL INFECTIONS"
"U-320","INHIBITING OR ELIMINATING ACUTE MYELOID LEUKEMIA"
"U-321","REDUCTION OF ELEVATED IPTH LEVELS IN THE MGT OF SECONDARY HYPERPARATHYROIDISM IN PATIENTS UNDERGONG CHRONIC RENAL DIALYSIS"
"U-322","TREATMENT OF ALZHEIMER'S DEMENTIA"
"U-323","USE AS A BILE ACID SEQUESTRANT"
"U-324","METHOD OF TREATING AN ANIMAL, INCLUDING A HUMAN, SUFFERING FROM OR SUSCEPTIBLE TO PSYCHOSIS OR ACUTE MANIA EMPLOYING OLANZAPINE"
"U-325","METHOD OF TREATING A PATIENT SUFFERING  FROM ANY OF A NUMBER OF LISTED CONDITIONS, INCLUDING 'BIPOLAR DISORDER NOS' EMPLOYING OLANZAPINE"
"U-326","METHOD OF TREATING SCHIZOPHRENIA AND BIPOLAR DISORDER"
"U-327","METHOD OF TREATING A PATIENT SUFFERING FROM ANY OF A NUMBER OF LISTED PSYCHOTIC CONDITIONS EMPLOYING OLANZAPINE"
"U-328","METHOD OF TREATING A PATIENT SUFFERING FROM ANY OF A NUMBER OF LISTED CONDITIONS INCLUDING 'A PSYCHOTIC CONDITION' EMPLOYING AN OLANZAPINE POLYMORPH"
"U-329","USE OF AVANDIA AS MONOTHERAPY, IN COMBINATION WITH METFORMIN, AND IN COMBINATION WITH SULFONYLUREAS TO IMPROVE GLYCEMIC CONTROL IN PATIENTS WITH TYPE 2 DIABETES MELLITUS"
"U-330","TREATMENT OF NAUSEA AND VOMITING"
"U-331","METHOD OF TREATING HYPERLIPIDEMIA WITH NICOTINIC ACID BY DOSING ONCE PER DAY IN THE EVENING OR AT NIGHT"
"U-332","TREATMENT OR PREVENTION OF BRONCHOSPASM"
"U-333","METHOD OF TREATING OCULAR HYPERTENSION"
"U-334","TREATMENT OF EXCESSIVE FEMALE FACIAL HAIR"
"U-335","USE OF PRAVASTATIN SODIUM FOR SECONDARY PREVENTION OF CORONARY EVENTS IN MEN AND WOMEN WHO HAVE HAD A MYOCARDIAL INFARCTION AND HAVE NORMAL CHOLESTEROL LEVELS"
"U-336","DIAGNOSTIC RADIOIMAGING"
"U-337","USE OF CARDIOLITE/MIRALUMA KIT FOR THE PREPARATION OF TC99M SESTAMIBI"
"U-338","METHODS FOR TREATING DISTURBANCES OF MOOD, DISTURBANCES OF APPETITE, DEPRESSED MOOD, OR CARBOHYDRATE CRAVING ALL ASSOCIATED WITH PREMENSTRUAL SYNDROME"
"U-339","PREVENTION OF CARDIO-TOXICITY CAUSED BY THE ADMINISTRATION OF DOXORUBICIN"
"U-340","THE LONG TERM TREATMENT OF GROWTH FAILURE DUE TO LACK OF ADEQUATE ENDOGENOUS GROWTH HORMONE SECRETION IN CHILDREN"
"U-341","METHOD FOR ENHANCING THE TREATMENT OF ... LATE LUTEAL PHASE DYSPHORIC DISORDER"
"U-342","METHOD FOR TREATMENT OF LATE LUTEAL PHASE DYSPHORIC DISORDER"
"U-343","REDUCTION OF INTESTINAL GAS, CRAMPING AND ANORECTAL IRRITATION"
"U-344","METHOD FOR INHIBITING HIV INFECTION BY ADMINISTERING RITONAVIR IN COMBINATION WITH ANOTHER HIV PROTEASE INHIBITOR"
"U-345","RITONAVIR AND ANOTHER HIV PROTEASE INHIBITOR FOR CONCOMITANT ADMINISTRATION FOR THE TREATMENT OF AN HIV INFECTION"
"U-346","METHOD FOR INHIBITING CYTOCHROME P450 MONOOXYGENASE WITH RITONAVIR AND A METHOD FOR IMPROVING THE PHARMACOKINETICS OF A DRUG THAT IS METABOLIZED BY CYTOCHROME P450 MONOOXYGENASE BY ADMIN THE DRUG AND RITONAVIR"
"U-347","METHOD OF USE IN COMBINATION WITH REVERSE TRANSCRIPTASE INHIBITORS"
"U-348","METHOD OF USE FOR INHIBITING HIV INFECTION"
"U-349","METHOD OF USE WHICH IS SUBJECT OF THE APPLICATION"
"U-350","PREPARATION OF A PHARMACEUTICAL COMPOSITION FOR CONCOMITANT ADMIN WITH A REVERSE TRANSCRIPTASE INHIBITOR"
"U-351","INHIBITING PROTEASE WITH LOPINAVIR AND INHIBITING AN HIV INFECTION WITH LOPINAVIR"
"U-352","INHIBITING HIV INFECTION BY ADMINISTERING RITONAVIR IN COMBINATION WITH A REVERSE TRANSCRIPTASE INHIBITOR"
"U-353","PREVENTION AND TREATMENT OF OSTEOPOROSIS"
"U-354","METHOD OF TREATING HYPERLIPIDEMIA WITH NICOTINIC ACID WITHOUT CAUSING TREATMENT-LIMITING ELEVATIONS IN URIC ACID OR GLUCOSE LEVELS OR CAUSING LIVER DAMAGE, BY DOSING ONCE PER DAY IN THE EVENING OR AT NIGHT"
"U-355","METHOD OF ASSISTING PERSON TO QUIT SMOKING...TRANSDERMALLY ADMIN NICOTINE VIA..PATCH ADHERED TO SKIN AT DOSING RATE APPROX SAME AS ABSORBED FROM SMOKING"
"U-356","DELIVERING A MEDICINAL AEROSOL FORMULATION USING CFC-FREE PROPELLANT 134A."
"U-357","USE OF THE DRUG PRODUCT IN PHOTODYNAMIC THERAPEUTIC PROTOCOLS FOR THE TREATMENT OF AGE-RELATED MACULAR DEGENERATION AND RELATED CONDITIONS INVOLVING UNWANTED NEOVASCULATURE IN THE EYE"
"U-358","DEPRESSION, OBSESSIVE COMPULSIVE DISORDER, PANIC DISORDER AND SOCIAL ANXIETY DISORDER"
"U-359","METHOD OF USE OF VISICOL"
"U-360","METHOD OF TREATING A PATIENT SUFFERING FROM ANY OF A NUMBER OF PATHOLOGICAL PSYCHOLOGICAL CONDITIONS INCLUDING MENTAL DISORDERS EMPLOYING OLANZAPINE AS PER THE INDICATION WHICH IS THE SUBJECT MATTER OF THIS SNDA-011"
"U-361","MANAGEMENT OF ANXIETY DISORDERS AND THE SHORT-TERM RELIEF OF THE SYMPTOMS OF ANXIETY"
"U-362","USE OF APPROVED FORMULATIONS TO TREAT ALL APPROVED DISEASE INDICATIONS"
"U-363","METHOD OF TREATING A PATIENT SUFFERING FROM ANY OF A NUMBER OF PATHOLOGICAL PSYCHOLOGICAL CONDITIONS THAT RELATE TO THE USE OF A PSYCHOACTIVE SUBSTANCE EMPLOYING OLANZAPINE AS PER THE INDICATION THE SUBJECT MATTER OF SUPPLEMENT 011"
"U-364","TREATING A PATIENT SUFFERING FROM OR SUSCEPTIBLE TO ANY NUMBER OF LISTED CONDITIONS INCLUDING PSYCHOSIS, EMPLOYING OLANZAPINE AS PER THE INDICATION WHICH IS THE SUBJECT MATTER OF THIS SNDA-011"
"U-365","METHOD FOR THE TREATMENT OF CARDIOVASCULAR DISEASE THROUGH THE ADMINISTRATION OF A CALCIUM BLOCKING VASODILATOR IN OUR EXTENDED, CONTROLLED RELEASE FORMULATION"
"U-366","METHOD FOR THE TREATMENT OF CARDIOVASCULAR DISEASE THROUGH THE ADMINISTRATION OF A CALCIUM BLOCKING VASODILATOR IN A DELAYED RELEASE FORMULATION"
"U-367","TREATMENT OF CARDIOVASCULAR DISORDERS"
"U-368","HEARTBURN"
"U-369","METHOD OF CONTROLLING AND LOWERING INTRAOCULAR PRESSURE"
"U-370","INTRAVAGINAL TREATMENT OF VAGINAL INFECTIONS WITH BUFFERED METRONIDAZOLE COMPOSITIONS"
"U-371","APPROVAL FOR MARKETING ONLY UNDER A SPECIAL RESTRICTION PROGRAM APPROVED BY FDA CALLED 'SYSTEM FOR THALIDOMIDE EDUCATION AND PRESCRIBING SAFETY' (S.T.E.P.S.)"
"U-372","METHOD FOR ADMINISTERING A BENEFICIAL DRUG TO THE GI TRACT OF AN ANIMAL, WHICH METHOD COMPRISES ADMITTING AN OSMOTIC DEVICE ORALLY INTO THE ANIMAL..."
"U-373","GENERAL USE CLAIM SUBMITTED FOR 12 NEXIUM PATIENTS STATING 'PERTINENT TO THE CAPSULE FORMULATION FOR NEXIUM AND ITS INDICATIONS FOR THE TREATMENT OF GERD AND ERADICATION OF H.PYLORI TO REDUCE THE RISK OF DUODENAL ULCER RECURRENCE"
"U-374","KIT ADAPTED AND DESIGNED TO PROVIDE BOTH DATA ON THE CURRENT REPRODUCTIVE STATUS OF A PATIENT AND CONTRACEPTION FOR THOSE WHO ARE NOT PREGNANT, BUT RECENTLY ENGAGED IN UNPROTECTED SEX"
"U-375","METHOD OF USING RIBAVIRIN FOR TREATING A DISEASE RESPONSIVE TO RIBAVIRIN, E.G. HEPATITIS C"
"U-376","TREATMENT OF INFLUENZA"
"U-377","METHOD OF TREATING PT WITH CHRONIC HEPATITIS C HAVING HCV GENOTYPE 1 AND VIRAL LOAD GREATER THAN 2 MILLION COPIES/ML TO ERADICATE DETECTABLE HCV-RNA BY ADMIN COMBINATION OF RIBAVIRIN AND INTERFERON ALFA-2B FOR A LEAST 24 WEEKS"
"U-378","METHOD FOR TREATING INCONTINENCE"
"U-379","METHOD OF TREATING ONYCHOMYCOSIS"
"U-380","COMBINATIONS OF TAXOL (PACLITAXEL) AND CISPLATIN WHICH ARE SUITABLE FOR THE TREATMENT OF OVARIAN AND NON-SMALL CELL LUNG CARCINOMAS"
"U-381","TREATMENT OF HYPERPHOSPHATEMIA"
"U-382","METHOD OF STABILIZING PROSTAGLANDIN"
"U-383","METHOD FOR TREATING GLAUCOMA AND OCULAR HYPERTENSION"
"U-384","TREATMENT OF CMV RETINITIS"
"U-385","TREATMENT OF PEPTIC ULCERS"
"U-386","TREATMENT OF PATIENTS SUFFERING FROM A LATE ASTHMATIC REACTION OR LATE PHASE ASTHMA"
"U-387","TREATMENT OF PATIENTS WITH RESPIRATORY DISORDERS"
"U-388","SMOKING CESSATION AID APPLIED TO THE SKIN"
"U-389","SMOKING CESSATION AID APPLIED TO THE SKIN ON WAKING AND REMOVED PRIOR TO SLEEP AFTER ABOUT 16 HOURS"
"U-390","METHOD OF USING THE DRUG TO TREAT NEUROIMMUNOLOGIC DISEASES (INCLUDING MULTIPLE SCLEROSIS)"
"U-391","USE OF CASODEX IN COMBINATION WITH LHRH AGONISTS FOR THE TREATMENT OF PROSTATE CANCER"
"U-392","TREATMENT OF PATIENTS FOR INFLAMMATION"
"U-393","MANAGEMENT OF INCONTINENCE, MGT OF HORMONE REPLACEMENT THERAPY, TREATMENT OF INVOLUNTARY INCONTINENCE, MGT OVERACTIVE BLADDER AND INCREASING COMPLIANCE IN SUCH PT"
"U-394","METHOD OF USE OF ALPHAGAN"
"U-395","METHOD OF USE OF ALPHAGAN P"
"U-396","METHOD OF TREATING PEOPLE SUFFERING FROM DEPRESSION"
"U-397","METHOD OF TREATING PEOPLE SUFFERING FROM DEPRESSION WITHOUT AN INCREASE IN NAUSEA"
"U-398","TREATMENT OF GENERALIZED ANXIETY DISORDER"
"U-399","IN-THE-EYE USE OF CHLORINE DIOXIDE CONTAINING COMPOSITIONS"
"U-400","USE OF RIBAVIRIN TO INCREASE TYPE 1 CYTOKINE RESPONSE AND SUPPRESS TYPE 2 CYTOKINE RESP0NSE TO LYMPHOCYTES, INCLUDING METHODS THAT TAKE ADVANTAGE OF SUCH MODULATION TO TREAT INFECTIONS AND INFESTATIONS"
"U-401","USE OF LOPINAVIR IN COMBINATION WITH REVERSE TRANSCRIPTASE INHIBITORS FOR TREATING HIV INFECTION AND IN COMBO WITH OTHER HIV PROTEASE INHIBITORS"
"U-402","TREATMENT OF ACTINIC KERATOSES"
"U-403","ANTI-ALLERGIC FOR VARIOUS ALLERGIC DISEASES"
"U-404","TREATMENT OF ALLERGIC CONJUNCTIVITIS"
"U-405","FOR WOMEN WITH SEVERE DIARRHEA-PREDOMINANT IRRITABLE BOWEL SYNDROME (IBS)"
"U-406","METHOD OF USE OF ATOVAQUONE AND PROGUANIL"
"U-407","METHOD OF TREATING OTOPATHY"
"U-408","FOR INDUCING OVULATION IN CONJUNCTION WITH A GONADOTROPIN RELEASING FACTOR ANTAGONIST AND RECRUITING OOCYTES FOR IN-VITRO FERTILIZATION"
"U-409","METHOD OF TREATING INFLAMMATION USING DRUG SUBSTANCE"
"U-410","METHOD OF REDUCING AMOUNT OF RESPECTIVE ACTIVE COMPONENTS ADMINISTERED TO A DIABETIC PATIENT BY ADMINISTERING A CHEMICAL COMPOUND HAVING A PARTICULAR FORMULA (INCLUDING PIOGLITAZONE) IN COMBINATION WITH AN INSULIN SECRETION ENHANCER"
"U-411","METHOD OF REDUCING THE SIDE EFFECTS OF ACTIVE COMPONENTS ADMINISTERED TO A DIABETIC PATIENT BY ADMINISTERING A CHEMICAL COMPOUND HAVING A PARTICULAR FORMULA (WHICH INCLUDES PIOGLITAZONE) IN COMBINATION WITH AN INSULIN PREPARATION"
"U-412","TREATMENT OF TYPE 2 DIABETES"
"U-413","USE OF THE ACTIVE INGREDIENT FOR INHIBITING THE BIOSYNTHESIS OF CHOLESTEROL AND TREATMENT OF ATHEROSCLEROSIS"
"U-414","A METHOD OF TREATING GLYCOMETABOLISM DISORDERS BY ADMINISTERING AN INSULIN SENSITIVITY ENHANCER (INCLUDING PIOGLITAZONE) IN COMBINATION WITH A BIGUANIDE"
"U-415","A METHOD FOR REDUCING THE AMOUNT OF ACTIVE COMPONENTS ADMINISTERED TO A DIABETIC PATIENT BY ADMINISTERING AN INSULIN SENSITIVITY ENHANCER (INCLUDING PIOGLITAZONE) IN COMBINATION WITH A BIGUANIDE AS SAID ACTIVE COMPONENTS"
"U-416","A METHOD FOR REDUCING SIDE EFFECTS OF ACTIVE COMPONENTS ADMINISTERED TO A DIABETIC PATIENT BY ADMINISTERING AN INSULIN SENSITIVITY ENHANCER (INCLUDING PIOGLITAZONE) IN COMBINATION WITH A BIGUANIDE AS SAID ACTIVE COMPONENTS"
"U-417","COMBINATION USE OF AD-4833 WITH A BIGUANIDE"
"U-418","A METHOD OF TREATING LIPID METABOLISM DISORDERS BY ADMINISTERING A CHEMICAL COMPOUND HAVING A PARTICULAR FORMULA (WHICH INCLUDES PIOGLITAZONE) IN COMBINATION WITH AN INSULIN SECRETION ENHANCER"
"U-419","A METHOD OF TREATING LIPID METABOLISM DISORDERS BY ADMINISTERING AN INSULIN SENSITIVITY ENHANCER (INCLUDING PIOGLITAZONE) IN COMBINATION WITH A BIGUANIDE"
"U-420","METHOD OF TREATMENT OF TYPE II DIABETES"
"U-421","USE FOR SEDATION"
"U-422","METHOD OF TREATING AT LEAST ONE OF ATTENTION DEFICIT DISORDER AND ATTENTION DEFICIT HYPERACTIVITY DISORDER"
"U-423","METHOD OF TREATING AT LEAST ONE OF ATTENTION DEFICIT DISORDER, ATTENTION DEFICIT HYPERACTIVITY DISORDER, OR AIDS RELATED DEMENTIA"
"U-424","FOR ONCE DAILY, BOLUS ADMINISTRATION TO A PATIENT IN ORDER TO ENGENDER TREATMENT FOR A NERVOUS DISORDER FOR SUBSTANTIALLY AN ENTIRE DAY ON A CHRONIC BASIS"
"U-425","METHOD OF REDUCING SIDE EFFECTS OF ACTIVE COMPONENTS ADMIN TO A DIABETIC BY ADMIN A CHEMICAL COMPOUND HAVING FORMULA (INCL PIOGLITAZONE) IN COMBINATION WITH AN INSULIN SECRETION ENHANCER"
"U-426","PREVENTION OF PREMATURE LH SURGES IN WOMEN UNDERGOING CONTROLLED OVARIAN STIMULATION"
"U-427","METHOD OF TREATING ALLERGIC REACTIONS IN MAMMALS"
"U-428","METHOD OF TREATING ALLERGY IN A MAMMAL USING THIS ACTIVE METABOLITE"
"U-429","METHOD OF USING DESLORATADINE TO TREAT ALLERGIC RHINITIS"
"U-430","METHOD OF TREATING A DIABETIC BY ADMINISTERING AN INSULIN SENSITIZER IN COMBINATION WITH AN INSULIN SECRETION ENHANCER, AND A DRUG PRODUCT COMPRISING AN INSULIN SENSITIZER AND AN INSULIN SECRETION ENHANCER"
"U-431","POSTTRAUMATIC STRESS DISORDER"
"U-432","REDUCTION OF ATHEROSCLEROTIC EVENTS (MYOCARDIAL INFARCTION, STROKE, AND VASCULAR DEATH) IN PATIENTS WITH ATHEROSCLEROSIS DOCUMENTED BY RECENT STROKE, RECENT MYOCARDIAL INFARCTION OR ESTABLISHED PERIPHERAL ARTERIAL DISEASE"
"U-433","USE OF LEVOCARNITINE IN PREVENTION AND TREATMENT OF CARNITINE DEFICIENCY IN PATIENTS WITH END STAGE RENAL DISEASE WHO ARE UNDERGOING DIALYSIS"
"U-434","CONTROLLED SYMPTOMS OF DIARRHEA, BLOATING PRESSURE AND CRAMPS, COMMONLY REFERRED TO AS GAS"
"U-435","A TITRATION DOSING REGIMEN FOR THE TREATMENT OF PAIN USING AN INITIAL DOSE OF ABOUT 25MG"
"U-436","ACUTE TREATMENT OF MIGRAINE ATTACKS WITH OR WITHOUT AURA IN ADULTS"
"U-437","METHOD OF USE EQUAL TO PROCESS OF PREPARATION"
"U-438","TREATMENT/PREVENTION OF NEURODEGENERATIVE DISEASE"
"U-439","TREATMENT OF OBESITY"
"U-440","METHOD FOR TRANSDERMAL ADMINISTRATION OF A DRUG THROUGH NON-SCROTAL SKIN USING A TRANSDERMAL DRUG DELIVERY DEVICE CONTAINING THE DRUG AND HAVING AN ADHESIVE SURFACE"
"U-441","METHOD OF TREATING MS BY ADMINISTERING COPAXONE"
"U-442","METHOD FOR DELIVERING A DRUG TO A PATIENT IN NEED OF THE DRUG, WHILE AVOIDING THE OCCURRENCE OF AN ADVERSE SIDE EFFECT KNOWN OR SUSPECTED OF BEING CAUSED BY SAID DRUG"
"U-443","MANAGEMENT OF MODERATE TO SEVERE PAIN WHEN A CONTINUOUS, AROUND-THE-CLOCK ANALGESIC IS NEEDED FOR AN EXTENDED PERIOD OF TIME"
"U-444","TREATMENT OF MIGRAINE"
"U-445","USE AS AN ANTIMYCOTIC AGENT"
"U-446","TOPICAL TREATMENT OF OCULAR HYPERTENSION AND GLAUCOMA"
"U-447","METHOD OF TREATING HYPERLIPIDEMIA WITH NICOTINIC ACID BY DOSING ONCE PER DAY IN THE EVENING OR AT NIGHT"
"U-448","METHOD OF TREATING HYPERLIPIDEMIA WITH NICOTINIC ACID WITHOUT CAUSING TREATMENT-LIMITING ELEVATIONS IN URIC ACID OR GLUCOSE LEVELS OR CAUSING LIVER DAMAGE, BY DOSING ONCE PER DAY IN THE EVENING OR AT NIGHT"
"U-449","USE IN COMBINATION WITH 5-FLUOROURACIL AND LEUCOVORIN FOR THE TREATMENT OF METASTATIC COLORECTAL CANCER WHERE THE DOSE OF LEUCOVORIN IS AT LEAST 200MG PER SQUARE METER"
"U-450","INTERMEDIATE REL NICOTINIC ACID FORMULATIONS HAVING UNIQUE URINARY METAB PROFILES RESULTING FROM ABSORPTION PROFILES OF NICOTINIC ACID FROM THE INTERMEDIATE NICOTINIC ACID FORMULATIONS,SUITABLE FOR TX HYPERLIPIDEMIA FOLLOWING QD DOSING"
"U-451","TREATMENT OF DEPRESSION AND GENERALIZED ANXIETY DISORDER"
"U-452","USE OF LANSOPRAZOLE FOR COMBATTING DISEASES CAUSED BY THE GENUS CAMPYLOBACTER (C.PYLORI=H.PYLORI)"
"U-453","TREATMENT OF PLATELET ASSOCIATED ISCHEMIC DISORDERS"
"U-454","METHOD OF TX A PT SUSPECTED OF HAVING HEPATITIS C BY ADMIN, IN COMBINATION, A CONJUGATE COMPRISING PEG 12000 & INTERFERON ALFA-2B IN AN AMT OF FROM 0.5MCG/KG TO 2MCG/KG, ONCE WEEKLY, AND RIBAVIRIN"
"U-455","TREATMENT OF PULMONARY HYPERTENSION WITH UT-15"
"U-456","METHOD OF DECREASING THE PRODUCTION OF A-BETA USING A COMPOSITION WHICH DECREASES BLOOD CHOLESTEROL IN PATIENTS AT RISK OF OR EXHIBITING SYMPTOMS OF ALZHEIMER'S DISEASE"
"U-457","METHOD OF TREATING A VAGINAL FUNGAL INFECTION IN A FEMALE HUMAN"
"U-458","METHOD OF USE OF IMAGENT"
"U-459","TREATMENT OF DEPRESSION AND GENERALIZED ANXIETY DISORDER"
"U-460","METHOD OF TREATING PSYCHIATRIC SYMPTOMS ASSOCIATED WITH PREMENSTRUAL DISORDERS USING SERTRALINE"
"U-461","METHOD OF TREATMENT OF LATE LUTEAL PHASE DYSPHORIC DISORDER (PMDD) USING SERTRALINE"
"U-462","SIGNS AND SYMPTOMS OF OSTEOARTHRITIS AND ADULT RHEUMATOID ARTHRITIS AND TREATMENT OF PRIMARY DYSMENORRHEA"
"U-463","VENOGRAPHY"
"U-464","PERIPHERAL ARTERIOGRAPHY"
"U-465","CT IMAGING OF THE HEAD"
"U-466","TREATMENT OF IRRITABLE BOWEL SYNDROME"
"U-467","USE OF EPLERENONE IN COMBINATION WITH AN ANGIOTENSIN CONVERTING ENZYME (ACE) INHIBITOR FOR TREATING HYPERTENSION"
"U-468","METHOD OF USING FEXOFENADINE HCL IN TREATING ALLERGIC RHINITIS"
"U-469","TREATMENT OF GASTROESOPHAGEAL REFLEX DISEASE (GERD) AND ERADICATION OF H.PYLORI TO REDUCE RISK OF DUODENAL ULCER RECURRENCE"
"U-470","THERAPY IN CHRONIC HEPATITIS B VIRUS INFECTION"
"U-471","METHOD OF TREATING A PATIENT SUFFERING FROM DIABETES MELLITUS"
"U-472","TREATMENT OF ATTENTION DEFICIT HYPERACTIVITY DISORDER USING METHYLPHENIDATE BI-MODAL RELEASE PROFILE EXTENDED-RELEASE CAPSULES"
"U-473","TO REDUCE PLASMA CHOLESTEROL LEVELS IN A MAMMAL"
"U-474","TO REDUCE PLASMA CHOLESTEROL LEVELS BY ADMIN EZETIMIBE IN COMBO WITH CHOLESTEROL BIOSYNTHESIS INHIB SELECTED FROM GROUP CONSISTING OF HMG COA REDUCTASE INHIBITORS INCL SIMVASTATIN"
"U-475","TREATMENT OF CUTANEOUS MANIFESTATIONS OF CUTANEOUS T-CELL LYMPHOMA IN PATIENTS WHO ARE REFRACTORY TO AT LEAST ONE PRIOR SYSTEMIC THERAPY"
